年(月)別,合　計,亞　洲,col_3,col_4,col_5,col_6,col_7,美　國,歐　洲,中　東,source_table,processing_date
104,48053.495,64877.123,65654.267,-19308.857,22559.369,10225.522,-680.621,6085.992,-2621.749,-16873.167,table10,2025-10-11
105,49975.197,61791.304,66664.826,-21149.587,24068.833,8621.227,-2118.276,6309.34,-2768.883,-11877.525,table10,2025-10-11
106,58287.068,75278.203,78361.774,-21365.152,27518.445,8908.17,-2476.815,8376.899,-2537.249,-15834.057,table10,2025-10-11
107,49215.665,72688.744,82699.74,-21350.343,23577.079,8907.712,-3785.941,6385.48,-3302.78,-21655.126,table10,2025-10-11
108,43505.87,63143.357,73657.987,-20773.155,18969.387,10261.616,-823.616,11397.311,-6760.178,-18777.554,table10,2025-10-11
109,58978.301,66273.408,86572.869,-22502.511,17314.192,10094.838,-5469.87,18036.373,-8653.767,-11093.362,table10,2025-10-11
110,64413.652,77767.227,104680.758,-26910.328,23008.91,13645.421,-10499.38,26427.202,-8846.77,-19706.953,table10,2025-10-11
111,51332.708,78722.092,100367.216,-21017.13,26671.974,16997.14,-12083.304,29361.077,-9972.643,-29253.248,table10,2025-10-11
112,80788.322,81067.997,80520.837,-12909.548,35243.453,20214.031,-10211.473,35352.309,-4322.661,-20595.584,table10,2025-10-11
113,80630.414,47874.949,69985.026,-20616.746,38499.182,24038.538,-22914.279,64906.367,-7366.824,-18830.086,table10,2025-10-11
114年1-8月,86890.429,18356.857,49096.595,-16359.15,37693.312,17244.259,-23566.049,85365.92,-8496.055,-13458.55,table10,2025-10-11
